NL,OCL,src
"A «CORBAAnonymousArray»-stereotyped Class must have exactly one
navigable opposite AssociationEnd whose multiplicity is 1..1.","navigableOppositeEnds->size = 1 and navigableOppositeEnds
->forAll(end | end.multiplicity.range.lower = 1 and
end.multiplicity.range.upper = 1)",1.7
"A «oneway»-stereotyped Operation may not have any out or inout Parameters
and must have a return Parameter of type CORBA::void","self.parameter
->forAll(param | param.kind <> #out and
param.kind <> #inout) and
self.parameter->select(param | param.kind = #return and
param.type.name = “CORBA::void”)->size = 1)",1.7
"A «oneway»-stereotyped Operation must be owned by a
«CORBAInterface»-stereotyped Class.","self.owner.isStereotyped(""CORBAInterface"")",1.7
A «readonly»-stereotyped Attribute cannot raise a modify exception,"not self.taggedValue->exists(tag | tag.name = ""setRaises"")",1.7
upperValue must be a LiteralUnlimitedNatural and lowerValue must be a LiteralInteger. Both are required,self.upperValue->notEmpty() and self.upperValue->asSequence()->first().oclIsKindOf(LiteralUnlimitedNatural) and self.lowerValue->notEmpty() and self.lowerValue->asSequence()->first().oclIsKindOf(LiteralInteger),1.8
concurrency must be sequential,self.concurrency = CallConcurrencyKind::sequential,1.8
isStatic must be false,not self.isStatic,1.8
"Either all the classifiers are classes, or there is one classifier that is a data type",self.classifier->forAll(oclIsKindOf(Class)) or self.classifier->size() = 1 and self.classifier->forAll(oclIsKindOf(DataType)),1.8
"If an operation is abstract, it must have no method. Otherwise it must not have more than one method and it must have
exactly one method unless owned by an active class","If self.isAbstract then self.method->isEmpty()
else
 self.method->size() <= 1 and
 ((self.class = null or not self.class.isActive) implies
 self.method->size() = 1)
endif",1.8
isException must be false,not self.isException,1.8
isDerived and isDerivedUnion must be false,not self.isDerived and not self.isDerivedUnion,1.8
A reception must not have an associated method.,self.method->isEmpty(),1.8
A reception must not be abstract.,not self.isAbstract,1.8
isDerived must be false,not self.isDerived,1.8
Only active classes may have classifier behaviors.,self.classifierBehavior->notEmpty() implies self.isActive,1.8
Only an active class may specialize an active class.,self.parents()->exist(isActive) implies self.isActive,1.8
Only an abstract class may have abstract behavioral features.,self.member->select(oclIsKindOf(BehavioralFeature))->exists(isAbstract) implies self.isAbstract,1.8
"In this specification, a fUML instance model must have Behavior.isReentrant",self.isReentrant,1.8
body and language must be empty,self.language->isEmpty() and self.body->isEmpty(),1.8
An opaque behavior cannot be active.,not self.isActive,1.8
"An activity may be active, but cannot have a classifier behavior.",self.classifierBehavior->isEmpty(),1.8
isSingleExecution must be false.,not self.isExecution,1.8
A guard is only allowed if the source of the edge is a DecisionNode.,self.guard->notEmpty() implies self.source.oclIsKindOf(DecisionNode),1.8
isCombineDuplicate must be false,not self.isCombineDuplicate,1.8
isMulticast and isMultireceive must be false,not self.isMulticast and not self.isMultireceive,1.8
ordering must be FIFO,self.ordering = ObjectNodeOrderingKind::FIFO,1.8
isControlType must be false,not self.isControlType,1.8
The operations of the call events on the triggers of an accept call action must be owned or inherited by the context class of the action.,"let cls: Class = self.context.oclAsType(Class) in
let classes:Bag(Class) = cls.allParents()->select(oclIsKindOf(Class))->collect(oclAsType(Class))->union(cls->asBag()) in
classes.ownedOperation->includesAll(self.trigger.event->collect(oclAsType(CallEvent)).operation)",1.8
The context of the containing activity of the accept event action must be an active class.,self.context.oclAsType(Class).isActive,1.8
An accept event action may not be contained directly or indirectly in the test part of a clause or loop node.,"self->closure(inStructuredNode.oclAsType(ActivityNode))->forAll(n |
let s : StructuredActivityNode = n.inStructuredNode in
 s->notEmpty() implies
(s.ocllsTypeOf(ConditionalNode) implies s.oclAsType(ConditionalNode).clause.test->
excludes(n.oclAsType(ExecutableNode)) and
s.ocllsTypeOf(LoopNode) implies s.oclAsType(LoopNode).test->excludes(n.oclAsType(ExecutableNode))))",1.8
"Unless the action is an accept call action, all triggers must be for signal events.","not self.oclIsKindOf(AcceptCallAction) implies
self.trigger.event->forAll(oclIsKindOf(SignalEvent))",1.8
The behavior may not be active.,not self.behavior.isActive,1.8
isSynchronous must be true,self.isSynchronous,1.8
"If the behavior has a context, it must be the same as the context of the enclosing activity or a (direct or indirect) superclass of it.","self.behavior.context->notEmpty() implies
 self.context->union(self.context.allParents())->includes(self.behavior.context)",1.8
The given classifier must be a class.,self.classifier.oclIsKindOf(Class),1.8
The given classifier must not be an owned behavior (or otherwise have a context classifier).,self.classifier.oclIsKindOf(Behavior) implies self.classifier.oclAsType(Behavior).context = null,1.8
mode cannot be stream,self.mode <> ExpansionKind::stream,1.8
Edges may not cross into or out of an expansion region.,self.edge->forAll(self.node->includes(source) and self.node->includes(target)),1.8
An expansion region may not have output pins.,self.output->isEmpty(),1.8
no setupParts in fUML,self.setupPart->isEmpty(),1.8
isControl must be false,not self.isControl,1.8
All the old and new classifiers must be classes,self.oldClassifier->forAll(oclIsKindOf(Class)) and self.newClassifier->forAll(oclIsKindOf(Class)),1.8
isSynchronous must be false.,not self.isSynchronous,1.8
A TimedEvent is bound to one Clock.,on->size( ) = 1,1.9
The optional repetition property of a TimedEvent must be not defined when every is not defined.,every->isEmpty( ) implies repetition->isEmpty( ),1.9
Not all three properties are empty.,duration->notEmpty( ) or ( start->notEmpty( ) and finish->notEmpty( ) ),1.9
"A singledependency NfpRefine shall have only one client (from), but may have one or many suppliers (to).","context NfpRefine
inv: base_Dependency.from->size()=1 and base_Dependency.to->size()>=1",1.9
"If the Property ordering is set to UserDefined, it implies that both properties insertion and selection have to be
specified.",self.ordering = UsedDefined implies (self.insertion.size()=1 and self.selection.size()=1),1.9
 A conjugated port cannot be an atomic port.,self.isConjugated = true implies self.isAtomic = false,1.9
The ports referenced by the “onPorts” association must be FlowPorts or ClientServerPorts,"self.onPorts->forAll(port | port.oclIstypeOf(MARTE::MARTE_DesignModel::GCM::FlowPort) or
port.oclIsTypeOf(MARTE::MARTE_DesignModel::GCM::ClientServerPort). ",1.9
The features referenced by the “onFeatures” association must be FlowProperties or ClientServerFeatures.,"self.onFeatures->forAll(feature | feature.oclIstypeOf(MARTE::MARTE_DesignModel::GCM::FlowPorperty) or
feature.oclIsTypeOf(MARTE::MARTE_DesignModel::GCM::ClientServerFeature). ",1.9
A (local) clock can be defined either by a ClockExpression or by an Event.,definingEvent->None.mpty( ) = defBody->isEmpty( ),1.9
A ClockRelation constrains at least two clocks or anonymous clocks.,clocks->union(anonymousClocks)->size( ) >= 2,1.9
The referenced instants belong to different clocks.,instanceRefs.clock->size( ) = 2 ,1.9
All coincident junction instants in a coincidence relation are owned by distinct time bases.,"coincidentJIs->forAll( i,j | i<>j implies i.tb <> j.tb )",1.9
The nature of a discrete time base is discrete.,self.nature = TimeNatureKind::discrete,1.9
All instants owned by a discrete time base are junction instants.,self.instants->forAll( j | j.oclIsTypeOf(JunctionInstant) ),1.9
minD and maxD duration values of this duration interval value have the same onClock clock,minD.onClock = maxD.onClock,1.9
The intervalValue is on the same clock as the duration value,self.onClock = intervalValue.min.onClock,1.9
"All junction instants denoted by this instant value are owned by the timeBase time base of the onClock clock of this
time value.",denotedInstant->forAll( j | j.tb = self.onClock.timeBase ),1.9
All related time bases in a time base relation are directly or indirectly contained in this multiple time base,self.allIncludedTimesBases( )->includesAll(self.relatedTBs),1.9
"All related junction instants in a time instant relation are owned by a time base directly or indirectly contained in this
multiple time base.",self.allMemberJunctionInstants( )->includesAll(self.relatedJIs,1.9
The before and the after junction instants of a precedence relation are owned by distinct time bases,after.tb <> before.tb,1.9
A TimedDurationObservation of an execution refers to one clock only.,exc->notEmpty( ) implies on->size( ) = 1,1.9
 A TimedDurationObservation of two event occurrences refers to one or two clocks.,eocc->notEmpty( ) implies on->size( ) = 1 or on->size( ) = 2,1.9
 The isRelative attribute determines the kind of ClockedValueSpecification,"if isRelative, then when.oclIsTypeOf(DurationValueSpecification) else when.oclIsTypeOf(InstantValueSpecification)endif",1.9
The Clock of an at InstantValue is also an on Clock of this TimedOccurrenceEvent.,on->includesAll(at.onClock),1.9
All the at instant values are specified on different clocks.,"at->forAll( iv, jv | iv <> jv implies iv.onClock <> jv.onClock )",1.9
 The Clock of a startInstant InstantValue is also a on Clock of this TimedExecution.,on -> includesAll(startInstant.onClock),1.9
The Clock of a finishInstant InstantValue is also a on Clock of this TimedExecution.,on -> includesAll(finishInstant.onClock),1.9
The Clock of an executionDuration InstantValue is also a on Clock of this TimedExecution.,on -> includesAll(executionDuration.onClock),1.9
"Not all 3 properties duration, start, finish can be absent","( duration->isEmpty( ) implies start->notEmpty( ) and finish->notEmpty( ) )and
( ( start->isEmpty( ) and finish->isEmpty( ) ) implies duration->notEmpty( ) )",1.9
The lower and the upper bounds are owned by the time base of the time interval.,(lower.tb = base) and (upper.tb = base),1.9
Min and max instant values of this time interval value have the same onClock clock.,min.onClock = max.onClock,1.9
 A main real-time unit shall specify a main service.,self.isMain=true implies self.main->size() = 1,1.9
The base_InstanceSpecification of the Clock must be an InstanceSpecification of the base_Class of its type property,"not self.base_InstanceSpecification.oclIsUndefined() implies
self.base_InstanceSpecification.classifier->includes(self.type.base_Class)",1.9
The base_Property of the Clock must be a Property of the base_Class of its type property.,not self.base_Property.oclIsUndefined() implies self.base_Property.type = self.type.base_Class,1.9
The unit must be an ownedLiteral of the unitType enumeration of the ClockType.,self.unit->notEmpty( ) implies self.type.unitType.ownedLiteral->includes(self.unit),1.9
A logical clock does not have a defined standard,self.type.isLogical implies self.standard->isEmpty( ),1.9
"When clock extends an event, its type must be logical",not self.base_Event.oclUndefined() implies self.type.isLogical = true,1.9
Class inheritance should not be used for OperationalTransformations.,self.superClass->isEmpty(),1.11
The type of a ModelParameter is a ModelType or Collection of a ModelType.,"self.type.oclIsKindOf(ModelType)
or (self.type.oclIsKindOf(CollectionType)
 and self.type.oclAsType(CollectionType).elementType.oclIsKindOf(ModelType))",1.11
The body of a helper operation is a direct instance of OperationBody,self.body.oclIsTypeOf(OperationBody),1.11
The body of a constructor operation is a direct instance of ConstructorBody.,self.body.oclIsTypeOf(ConstructorBody),1.11
The body of a constructor operation is a direct instance of MappingBody,self.body.oclIsTypeOf(MappingBody),1.11
The body of a disjuncting mapping must be empty.,disjunct->notEmpty() implies body = null,1.11
Every containment ancestor of an ImperativeExpression that is an OclExpression must also be an ImperatveExpression.,"inv IsInImperativeContext: let ancestors = self->closure(oclContainer())
 in ancestors->forAll(oclIsKindOf(OclExpression) implies oclIsKindOf(ImperativeExpression))",1.11
A deferred assignment is a simple assignment,self.value->size()=1,1.11
"If citedElement is populated, isCitation must be true.",self.citedElement <> null implies self.isCitation = true,1.12
ImplementationConstraints should only be specified if +isAbstract is true,"self.implmentationConstraint->size() >
0 implies self.isAbstract = true ",1.12
"AssuranceCasePackageInterface are only allowed to contain the following: AssuranceCasePackageInterface,
ArgumentPackageInterfaces, ArtifactPackageInterfaces, and TerminologyPackages.","self.assuranceCasePackage->forall(acp|acp.oclIsTypeOf(AssuranceCasePackageInterface)) and
self.argumentPackage->forall(ap|ap.oclIsTypeOf(Argumentation::ArgumentPackageInterface)) and
self.artifactPackage->forall(ap|ap.oclIsTypeOf(Artifact::ArtifactPackageInterface)) and
self.terminologyPackage->forall(tp|tp.oclIsTypeOf(Terminology::TerminologyPackageInterface))",1.12
The participantPackages should be either AssuranceCasePackage or AssuranceCasePackageInterfaces.,"self.participantPackage->forall(pp|pp.oclIsTypeOf(AssuranceCase::AssuranceCasePacka ge) or
pp.oclIsTypeOf(AssuranceCase::AssuranceCasePackageInterface))",1.12
The participantPackages should be either TerminologyPackage or TerminologyPackageInterface,self.participantPackage->forall(pp|pp.oclIsKindOf(Terminology::TerminologyPac kage)),1.12
The participantPackages should be only ArgumentPackages,self.participantPackage->forall(pp|pp.oclIsTypeOf(Argument::ArgumentPackage)),1.12
The source of AssertedEvidence relationships must be ArtifactReference.,self.source->forall(s|s.oclIsTypeOf(ArtifactReference)),1.12
Metaclasses to be added must not be abstract, not self.getMetaClasses()->exists(isAbstract=true),1.13
Any element must be classified by at least one metaclass.,self.getMetaClasses()->size() >=1,1.13
The metaclass association is derived from the getMetaClasses operation.,self.metaClass = self.getMetaClasses(),1.13
No pair of classes exists such that they are both equivalent and disjoint,"not Class.allInstances()->exists(c | self.isEquivalentTo(c) and
 self.isDisjointWith(c) or self.hasDisjointAncestorsWith(c)))",1.13
The classifiers can only be Classes or Associations.,classifier->forAll(c | c.oclIsKindOf(Class) or c.oclIsKindOf(Association)),1.13
"If the InstanceSpecification is not a Link, none of its classifiers are associations","not self.oclIsKindOf(Link) implies classifier->forAll(c |
 c.oclIsKindOf(Class))",1.13
All classifiers are non-abstract,not classifier->exists(isAbstract),1.13
"The defining feature of each slot is a structural feature (directly or inherited) of a classifier of the instance
specification.","slot->forAll(s | classifier->exists (c |
 c.allFeatures()->includes (s.definingFeature)))",1.13
One structural feature (including the same feature inherited from multiple classifiers) is the defining feature of at most one slot in an instance specification.,"classifier->forAll(c | (c.allFeatures()->forAll(f |
 slot->select(s | s.definingFeature = f)->size() <= 1)))",1.13
No two metaclasses may be disjoint or have disjoint ancestors,"let classes : Set(Class) = self.getMetaClasses() in  classes->forAll(c1 | not classes->exists(c2 | c1 <> c2 and
 (c1.isDisjointWith(c2) or c1.hasDisjointAncestorsWith(c2))))",1.13
Each instance is classified at least once., classifier->notEmpty(),1.13
"If any metaclasses or their ancestors have equivalent classes, then those equivalent classes are also classifiers, either directly or indirectly",self.hasAllEquivalentClasses(),1.13
"If the language attribute is not empty, then the size of the body and language arrays must be the same.",language->notEmpty() implies (body->size() = language->size()),1.14
The general classifiers are the classifiers referenced by the generalization relationships.,general = self.parents(),1.14
The defining feature of each slot is a structural feature (directly or inherited) of a classifier of the instance specification.,slot->forAll(s | classifier->exists(c | c.allFeatures()->includes(s.definingFeature)) ),1.14
One structural feature (including the same feature inherited from multiple classifiers) is the defining feature of at most one slot in an instance specification.,classifier->forAll(c | (c.allFeatures()->forAll(f | slot->select(s | s.definingFeature = f)->size() <= 1) ),1.14
The lower bound must be a non-negative integer literal.,lowerBound()->notEmpty() implies lowerBound() >= 0,1.14
The upper bound must be greater than or equal to the lower bound.,(upperBound()->notEmpty() and lowerBound()->notEmpty()) implies upperBound() >= lowerBound(,1.14
The derived lower attribute must equal the lowerBound.,lower = lowerBound(),1.14
The derived upper attribute must equal the upperBound,upper = upperBound(),1.14
Generalization hierarchies must be directed and acyclical. A classifier cannot be both a transitively general and transitively specific classifier of the same classifier.,not self.allParents()->includes(self),1.14
The inheritedMember association is derived by inheriting the inheritable members of the parents.,self.inheritedMember = self.inherit( self.parents()->collect(p | p.inheritableMembers(self))->asSet() ),1.14
"If a NamedElement is not owned by a Namespace, it does not have a visibility",namespace->isEmpty() implies visibility->isEmpty(),1.14
"When an association specializes another association, every end of the specific association corresponds to an end of the general association, and the specific end reaches the same type or a subtype of the more general end.",Sequence{1..self.memberEnd->size()}-> forAll(i | self.general->select(oclIsKindOf(Association)).oclAsType(Association)-> forAll(ga |self.memberEnd->at(i).type.conformsTo(ga.memberEnd->at(i).type))),1.14
endType is derived from the types of the member ends.,self.endType = self.memberEnd->collect(e | e.type),1.14
Only binary associations can be aggregations,self.memberEnd->exists(isComposite) implies self.memberEnd->size() = 2,1.14
Association ends of associations with more than two ends must be owned by the association.,if memberEnd->size() > 2 then ownedEnd->includesAll(memberEnd),1.14
A redefinable element can only redefine non-leaf redefinable elements,self.redefinedElement->forAll(not isLeaf),1.14
The visibility of an ElementImport is either public or private.,self.visibility = #public or self.visibility = #private,1.14
An importedElement has either public visibility or no visibility at all.,self.importedElement.visibility.notEmpty() implies self.importedElement.visibility = #public,1.14
The importedMember property is derived from the ElementImports and the PackageImports.,importedMember = self.elementImport.importedElement.asSet()->union(self.packageImport.importedPackage->collect(p | p.visibleMembers())),1.14
n operation can have at most one return parameter.,ownedParameter->select(par | par.direction = #return)->size() <= 1,1.14
A bodyCondition can only be specified for a query operation.,bodyCondition->notEmpty() implies isQuery,1.14
"If an element that is owned by a package has visibility, it is public or private.",self.ownedElements->forAll(e | e.visibility->notEmpty() implies e.visibility = #public or e.visibility = #private),1.14
The non-owned end of an Extension is typed by a Class,metaclassEnd()->notEmpty() and metaclass()->oclIsKindOf(Class),1.14
The multiplicity of ExtensionEnd is 0..1 or 1.,(self->lowerBound() = 0 or self->lowerBound() = 1) and self->upperBound() = 1,1.14
The aggregation of an ExtensionEnd is composite.,self.aggregation = #composite,1.14
An element imported as a metaclassReference is not specialized or generalized in a Profile.,self.metaclassReference.importedElement-> select(c | c.oclIsKindOf(Classifier) and (c.generalization.namespace = self or c.specialization.namespace = self))->isEmpty(),1.14
All elements imported either as metaclassReferences or through metamodelReferences are members of the same base reference metamodel.,self.metamodelReference.importedPackage.elementImport.importedElement.allOwningPackages()-> union(self.metaclassReference.importedElement.allOwningPackages())->notEmpty(),1.14
A Stereotype may only generalize or specialize another Stereotype.,generalization.general->forAll(e | e.oclIsKindOf(Stereotype)) and generalization.specific->forAll(e | e.oclIsKindOf(Stereotype)),1.14
The first constrained element shall be a property.,self.base_Constraint.constrainedElement->at(1).oclIsKindOf(Property),1.15
The first constrained element shall be a value specification.,self.base_Constraint.constrainedElement->at(2).oclIsKindOf(ValueSpecification),1.15
An UPRConstraint constraint shall have 2 constrained elements.,self.base_Constraint.constrainedElement->size()=2,1.15
A Sensitivity is a binary relationship.,self.base_Dependency.supplier->size() = 1 and self.base_Dependency.client->size() = 1,1.15
Both the client and the supplier shall be constrained by a DesignObjectiveConstraint.,self.base_Dependency.client->union(self.base_Dependency.supplier)->forAll(p | DesignObjectiveConstraint.allInstances().constrainedProperty()->includes(p)),1.15
The client shall be constrained by a DesignObjectiveConstraint.,self.base_Dependency.client->forAll(p | DesignObjectiveConstraint.allInstances().constrainedProperty()->includes(p),1.15
every customer who enters a loyalty program be of legal age.,age >= 18,2.1
the number of valid cards for every customer must be equal to the number of programs in which the customer participates. ,"programs->size() = cards->select( valid = true )->size()
",2.1
male Customers must be approached using the title 'Mr.'.,gender = Gender::male implies title = 'Mr.',2.1
validFrom should be earlier than goodThru,validFrom.isBefore(goodThru),2.1
selects all transactions on a CustomerCard that have more than 100 points,self.transactions->select( points > 100 )->notEmpty(),2.1
a membership must be one of the service levels of the program to which the membership belongs,"programs.levels ->includes(currentLevel)
",2.1
the actual service level of a membership must always be a service level of the loyalty program ,programs.levels->includes(currentLevel),2.1
the service level of each membership must be a service level known to the loyalty program,"levels->  includesAll(Membership.currentLevel)
",2.1
the color of this card must match the service level of the membership,"currentLevel.name = 'Silver' implies card.color = Color::silver
    and
    currentLevel.name = 'Gold' implies card.color = Color::gold",2.1
a loyalty program offers at least one service to its customers,partners.deliveredServices->size() >= 1,2.1
"if none of the services offered in a LoyaltyProgram credits or debits the LoyaltyAccount instances, then these instances are useless and should not be present","partners.deliveredServices->forAll(
                pointsEarned = 0 and pointsBurned = 0 )
                             implies Membership.account->isEmpty()",2.1
the first element of this ordered set must be named Silver as follows,levels->first().name = 'Silver',2.1
there is at least one ServiceLevel with the name 'basic',self.levels->exists(name = 'basic'),2.1
"the number of participants in a loyalty program must be less than 10,000",self.participants->size() < 10000,2.1
the number of the loyalty account must be unique within a loyalty program,self.Membership.account->isUnique( acc | acc.number ) ,2.1
the names of all customers of a loyalty program are different,"self.participants->forAll(c1, c2 |
                           c1 <> c2 implies c1.name <> c2.name)",2.1
the age of all participants in a loyalty program is less than or equal to 70,participants->forAll( age() <= 70 ),2.1
"there may be only one loyalty account that has a number lower than 10,000",self.Membership.account->one( number < 10000 ),2.1
the attribute numberOfCustomers of class ProgramPartner. We want to state that this attribute holds the number of customers who participate in one or more loyalty programs offered by this program partner. ,"numberOfCustomers = programs.participants->asSet()->size()
",2.1
"the maximum number of points that may be earned by all services of a program partner is equal to 10,000","deliveredServices.transactions       -- all transactions
   ->select( oclIsTypeOf( Earning ) ) -- select earning ones
              .points->sum()               -- sum all points
              < 10,000                -- sum smaller than 10,000",2.1
all cards that generate transactions on the loyalty account must have the same owner,transactions.card.owner->asSet()->size() = 1,2.1
"if the attribute points is greater than zero, there exists a Transaction with points greater than zero",points > 0 implies transactions->exists(t | t.points > 0),2.1
you could demand that at least one of the values be 500,"transactions->collect( points )->
                        exists( p : Integer | p = 500 )",2.1
the available services for a service level must be offered by a partner of the loyalty program to which the service level belongs,"program.partners
             ->includesAll(self.availableServices.partner)",2.1
"The example rule checks every transaction amount in the message and if the number of occurencies of the value 30 is 2, true will be returned.",self.Transaction.Amount->count(30) = 2,2.2
"The example rule checks every transaction amount in the message and if the amount 30 is not found, true will be returned.",self.Transaction.Amount->excludes(30),2.2
"The example rule checks every transaction in the message and if one of the amounts is greater than 100, true will be returned. First a variable ""a"" is declared for the individual transaction. The condition statement is separated with a ""|""-sign. Then the statement is checked for every transaction in the message. If one of the amounts is greater than 100, true will be returned.", self.Transaction->exists(a|a.Amount > 100),2.2
"The example rule checks every transaction in the message if the amount is greater than 30. First a variable ""a"" is declared for the individual transaction. The condition statement is separated with a ""|""-sign. Then the statement is checked for every transaction in the message. If all of the amounts are greater than 30, true will be returned.",self.Transaction->forAll(a|a.Amount > 30),2.2
"The example rule checks every transaction amount in the message and if the amount 30 is found, true will be returned.",self.Transaction.Amount->includes(30),2.2
The example rule mandates the usage of both Creditor Name. I.e. the size of occurrence number of element Creditor / Name has to be 1.,self.Creditor.Name->size() = 1,2.2
" The example sums every transaction amount in the message if the amounts are valid type and compares them to the integer. If the sum is 100, true will be returned.",self.Transaction.Amount->sum() = 100,2.2
The example rule returns the absolut value of the first transaction amount and compares it to the right side operand. It's assumed that the value can be negative (this may not be the case in every situation). ,self.Transaction.at(0).Amount.abs() = 30,2.2
"The example rule compares the date of <TimeStamp> to the date of <Dt>. If the date of  <TimeStamp> is after the date of <Dt>, true will be returned.",self.TimeStamp.after(self.Dt),2.2
"The example rule checks every transaction amount in the message and if the number of instances is two, true will be returned. The size method returns the size of the set returned by the allInstances method. ",self.Transaction.Amount.allInstances()->size() = 2 ,2.2
 The example rule checks if the date of <Dt> is within 3 days from the system date., self.Dt.allowedDaysInFuture(3),2.2
The example rule checks if the date of <Dt> is within 3 days from the system date.,self.Dt.allowedDaysInPast(3),2.2
"The example rule compares the date of <TimeStamp> to the date of <Dt>. If the date of  <TimeStamp> is before the date of <Dt>, true will be returned.", self.Timestamp.before(self.Dt),2.2
"Example rule expects the position 1 (the second character in string) to contain ""A"".","self.Id.charAt(1) = ""A""",2.2
"Example rule expects the value of Id to contain characters ""aaaa"".","self.Id.compareTo(""aaaa"") = 0",2.2
"Example rule expects the value of Id to contain characters ""aaaa"", ignoring case considerations.","self.Id.compareToIgnoreCase(""aaaa"") = 0",2.2
"This rule takes debtor name and concatenates it with creditor name, and then verifies that Id contains the concatenated string", self.Debtor.Name.concat(self.Creditor.Name) = self.Id,2.2
The example rule checks if the value if element <Id> contains character sequence 'content'.,self.Id.contains('content'),2.2
The example decodes the <AttachmentContent> field value and checks that the length of the decoded value does not exceed 1024 characters.,self.AttachmentContent.decodeBase64().size() <= 1024,2.2
" The rule is checking if the value of the encoding attribute in XML declaration is ""UTF-8"". If it's not, an error will be given."," self.encoding() = ""UTF-8""",2.2
 The example rule checks if the value of <Id> ends with character a., self.Id.endsWith('a'),2.2
" The example rule compares the intiger quotient of the amount to the integer 30. If the integer quotient is 30, true will be returned. 
",self.Amount.floor() = 30,2.2
 The example rule checks if the element <Dt> has a value.,self.Dt.hasValue(),2.2
 The rule here checks if character a is found from the value of element <Id>. The rule passes if character a is not found as then the lastIndexOf method returns value -1.,self.Id.indexOf('a') = -1,2.2
The example rule checks if a DTD is given.,self.isDTDPresent(),2.2
The example rule checks if the <Id> element value is integer or decimal. The rule returns an error if the value is not numeric.,self.Id.isNumeric(),2.2
The example rule check if the value of <Id> element contains only characters and not digits.,self.Id.isOnlyChars(),2.2
The example rule checks if the given country code is valid.,self.PstlAdr.Ctry.isValidCountryCode(),2.2
The example rule checks if the given creditor identifier is valid.,self.Creditor.Id.isValidCreditorIdentifierEPC(),2.2
The example rule checks if the given currency code is valid.,self.Amount.Ccy.isValidCurrencyCode(),2.2
The example rule checks that the value in dateString field is valid ISO 8601 datetime.,"self.dateTimeString.isValidDate(""yyyy-MM-dd'T'HH:mm:ss.SSSXXX"")",2.2
The example rule checks if the given IBAN is valid., self.Debtor.IBAN.isValidIBAN(),2.2
The example rule checks if the given reference is valid.,self.Amount.REF.isValidReference('FI'),2.2
The example rule checks if the given reference is valid.,self.Amount.REF.isValidRF(),2.2
The example checks if last string 'content' is found starting from the position 1 of the value of the <Id> element. First position of a string is 0.,self.Id.lastIndexOf('content') = 9,2.2
"The example rule checks if the string contains only lower case letters from a to z.
 ",self.Id.matches('[a-z]*'),2.2
 The example rule compares the larger amount from the first and second transaction amounts to the right side operand. It's assumed that there is at least two transactions. The 'at' method doesn't work with the Bag type so it has to be changed to Sequence.,self.Transaction->asSequence().Amount->at(0).max(self.Transaction->asSequence().Amount->at(1)) = 100,2.2
 The example rule compares the lowest amount from the first and second transaction amounts to the right side operand. It's assumed that there is at least two transactions. ,self.Transaction.at(0).Amount.min(self.Transaction.at(1).Amount) = 30,2.2
"The example rule compares the date of <TimeStamp> minus 2 days to the date of <Dt>. If the date of  <TimeStamp> after the reduced days equals the date of <Dt>, true will be returned. This works in the same way with months and years.", self.TimeStamp.minusDays(2) = self.Dt,2.2
" The example rule compares the date & time of <TimeStamp> minus 2 hours to the date & time of <Dt>. If the date & time of <TimeStamp> after the reduced hours equals the date & time of <Dt>, true will be returned. This works in the same way with minutes and seconds.",self.TimeStamp.minusHours(2) = self.Dt,2.2
 The example rule checks if the default namespace is 'http://www.XMLdation.com'.,self.namespace() = 'http://www.XMLdation.com',2.2
The example rule checks if the noNamespaceSchemaLocation is given., self.noNamespaceSchemaLocation()->size() = 1,2.2
 The example rule checks if the date of <Dt> converted to a string matches the string on the right side of the equation.,self.Dt.oclAsType(string) = '2018-05-28',2.2
 The example rule checks if the type or supertypes of the value of <Dt> matches the ISO Date type., self.Dt.OclIsKindOf(ISODate),2.2
 The example rule checks if the type of the value of <Dt> matches the ISO Date type.,self.Dt.oclIsTypeOf(ISODate),2.2
 The example rule checks if the value of <Dt> is undefined.,self.Dt.oclIsUndefined(),2.2
" The example rule compares the date of <TimeStamp> plus 2 days to the date of <Dt>. If the date of  <TimeStamp> after the additional days equals the date of <Dt>, true will be returned. This works in the same way with months and years.", self.TimeStamp.plusDays(2) = self.Dt,2.2
" The example rule compares the date & time of <TimeStamp> plus 2 hours to the date & time of <Dt>. If the date & time of <TimeStamp> after the additional hours equals the date & time of <Dt>, true will be returned. This works in the same way with minutes and seconds.",self.TimeStamp.plusHours(2) = self.Dt,2.2
"The example rule compares the nearest integer of the amount to the integer 30. If the nearest integer is 30, true will be returned. ", self.Amount.round() = 30,2.2
 The example rule checks if the schemaLocation attribute is given., self.schemaLocation()->size() = 1,2.2
 The example rule check the length of the value of <Id> element and check that it is less than or equal to 20.,self.Id.size() <= 20,2.2
"Rule checks whether the returned collection contains two parts. I.e, whether the given string contains char ""-"" in the middle of the string."," self.Id.split(""-"")->size() = 2",2.2
The example rule checks if the standalone is 'yes'.,self.standalone() = 'yes',2.2
The example rule checks if the value of <Id> starts with character a.,self.Id.startsWith('a'),2.2
" The example rule takes first two characters, i.e. characters starting form index 0 and ending before index 2, from the <Id> element value and compares it to string ""FI"". Returns true if the string starts with ""FI"".","self.Id.substring(0,2) = ""FI""",2.2
" The example rule converts the value of <Id> element to lower case and compares it to ""idcontent"".","self.Id.toLower() = ""idcontent""",2.2
"The example rule tries to convert the value of <Id> to a real number and then compares it to the number 100,01. If <Id> is convertable and matches 100,01, true will be returned.",self.Id.toReal() = 100.01,2.2
